collar.n.03	collar
dead.n.01	dead
constitution.n.05	Constitution
metallic_element.n.01	metallic_element
record.n.07	record
vodka.n.01	vodka
impingement.n.01	impingement
medium.n.07	medium
site.n.01	site
pole.n.03	pole
information.n.01	information
slave.n.01	slave
waterwheel.n.01	waterwheel
usage.n.03	usage
wound.n.03	wound
player.n.04	player
pair.n.04	pair
combining.n.01	combining
period.n.04	period
control.n.10	control
division.n.10	division
beloved.n.01	beloved
lie.n.02	Lie
must.n.02	must
one-third.n.01	one-third
storyline.n.01	storyline
green.n.05	Green
lectern.n.01	lectern
radon.n.01	radon
slicer.n.01	slicer
condensate.n.01	condensate
noise.n.05	noise
test.n.02	test
swath.n.02	swath
shilling.n.06	shilling
catch.n.03	catch
bath.n.05	Bath
blister.n.03	blister
challenge.n.03	challenge
tart.n.03	tart
tsunami.n.01	tsunami
garlic.n.01	garlic
impact.n.02	impact
powderpuff.n.01	powderpuff
rice.n.02	rice
conflict.n.04	conflict
cable.n.06	cable
advance.n.06	advance
seat.n.04	seat
drop_curtain.n.01	drop_curtain
passing.n.03	passing
peepshow.n.02	peepshow
registrar.n.02	registrar
machete.n.01	machete
sport.n.02	sport
score.n.04	score
praise.n.02	praise
bang.n.04	bang
belt.n.01	belt
broadcast.n.02	broadcast
buckwheat.n.02	buckwheat
garage.n.02	garage
boot.n.02	boot
combination.n.05	combination
equation.n.03	equation
snowball.n.03	snowball
r-2.n.01	R-2
confrontation.n.03	confrontation
holder.n.03	holder
carom.n.02	carom
isle.n.01	isle
neighborhood.n.02	neighborhood
bulldozer.n.01	bulldozer
flypaper.n.01	flypaper
positron_emission_tomography.n.01	positron_emission_tomography
butcher.n.02	butcher
participant.n.01	participant
contract.n.03	contract
granary.n.01	granary
case.n.06	case
poultice.n.01	poultice
parenthood.n.01	parenthood
applicant.n.01	applicant
lacquer.n.01	lacquer
diagram.n.01	diagram
sword.n.01	sword
school.n.07	school
beaver.n.07	beaver
speculum.n.01	speculum
publication.n.01	publication
blackface.n.01	blackface
drain.n.04	drain
frame_of_reference.n.02	frame_of_reference
affect.n.01	affect
business.n.07	business
gunboat.n.01	gunboat
specification.n.03	specification
mobile.n.02	Mobile
business.n.05	business
